XYZ-ME;symbol;hemisphere;seg_id;optic_lobe_id;dorso-ventral
196939.0,63911.0,3259.0;Tm9;R;720575940625199900;R57;D
205291.0,52195.0,5168.0;Tm9;R;720575940640152448;R58;D
204035.0,60608.0,4217.0;Tm9;R;720575940640913037;R59;D
196079.0,47353.0,4080.0;Tm9;R;720575940620680277;R60;D
192812.0,55264.0,3158.0;Tm9;R;720575940620204422;R61;D
192518.0,67834.0,2886.0;Tm9;R;720575940621683494;R62;D
203709.0,86697.0,5387.0;Tm9;R;720575940616410909;R63;V
205851.0,83314.0,5286.0;Tm9;R;720575940640563315;R64;V
208780.0,73618.0,5222.0;Tm9;R;720575940645555252;R65;D
191296.0,77449.0,2880.0;Tm9;R;720575940644367396;R66;V
203146.0,86736.0,5070.0;Tm9;R;720575940639044942;R67;V
191896.0,65958.0,2843.0;Tm9;R;720575940619699068;R68;D
200095.0,84406.0,4090.0;Tm9;R;720575940612630130;R69;V
192512.0,88556.0,3552.0;Tm9;R;720575940635858544;R70;V
188492.0,80132.0,2910.0;Tm9;R;720575940628551680;R71;V
200337.0,87170.0,4370.0;Tm9;R;720575940637550221;R72;V
205182.0,82697.0,4767.0;Tm9;R;720575940640435152;R73;V
197910.0,91015.0,4573.0;Tm9;R;720575940620204678;R74;V
193650.0,83613.0,3351.0;Tm9;R;720575940622941181;R75;V
193512.0,93497.0,4449.0;Tm9;R;720575940633285739;R76;V
194539.0,79460.0,3236.0;Tm9;R;720575940623305107;R77;V
189194.0,65247.0,2938.0;Tm9;R;720575940645592628;R78;D
203332.0,84468.0,4660.0;Tm9;R;720575940620030633;R79;V
208764.0,73664.0,4937.0;Tm9;R;720575940638320256;R80;D
199626.0,78964.0,3669.0;Tm9;R;720575940624434320;R81;V
194519.0,61344.0,3090.0;Tm9;R;720575940631777676;R82;D
203966.0,71977.0,4001.0;Tm9;R;720575940610175381;R83;D
207391.0,78674.0,4928.0;Tm9;R;720575940614368175;R84;V
182137.0,83181.0,2805.0;Tm9;R;720575940628004358;R85;V
194625.0,55605.0,3370.0;Tm9;R;720575940627112748;R86;D
203317.0,61277.0,4123.0;Tm9;R;720575940612896682;R87;D
200875.0,77654.0,3796.0;Tm9;R;720575940632916783;R88;V
200951.0,79121.0,3910.0;Tm9;R;720575940628906795;R89;V
197959.0,62772.0,3412.0;Tm9;R;720575940639049038;R90;D
208679.0,75304.0,5081.0;Tm9;R;720575940641658676;R91;V
202860.0,60062.0,3915.0;Tm9;R;720575940638132058;R92;D
197970.0,73429.0,3230.0;Tm9;R;720575940639136600;R93;V
194697.0,90355.0,3912.0;Tm9;R;720575940627174415;R94;V
200742.0,56124.0,4030.0;Tm9;R;720575940624226795;R95;D
203974.0,85378.0,5087.0;Tm9;R;720575940616225209;R96;V
199310.0,90166.0,4845.0;Tm9;R;720575940627273487;R97;V
197926.0,92566.0,4691.0;Tm9;R;720575940627471887;R98;V
